+------------------------------------------------------------------------------------------------------+----------------------------------------------------+------------------------------------------------------------------+
| Δραστική Ουσία                                                                                       | Αριθμός Αλλεργικών Ασθενών                         | Αριθμός Φαρμάκων που την περιέχουν                               |
| Magnesium Phosphoricum Acidum Dil. D3                                                                |                                                  0 |                                                                1 |
| Magnesium Phosphoricum Acidum Dil. D6                                                                |                                                  0 |                                                                3 |
| Magnesium Phosphoricum D12                                                                           |                                                  0 |                                                                7 |
| Magnesium Phosphoricum D15                                                                           |                                                  0 |                                                                1 |
| Magnesium Phosphoricum D200                                                                          |                                                  0 |                                                                1 |
| Magnesium Phosphoricum D6                                                                            |                                                  0 |                                                               18 |
| Magnesium Phosphoricum D8                                                                            |                                                  0 |                                                                4 |
| Magnesium Phosphoricum Dil. D200                                                                     |                                                  0 |                                                                3 |
| Magnesium Phosphoricum Dil. D8                                                                       |                                                  0 |                                                                6 |
| Magnesium Phosphoricum Trit D2                                                                       |                                                  0 |                                                                1 |
| Magnesium Phosphoricum Trit. D4                                                                      |                                                  0 |                                                                1 |
| Magnesium Phosphoricum Trit. D6                                                                      |                                                  0 |                                                                4 |
| Magnesium Pidolate                                                                                   |                                                  0 |                                                               17 |
| Magnesium Sulfate                                                                                    |                                                  0 |                                                               50 |
| Magnesium Sulfate Heptahydrate                                                                       |                                                  0 |                                                              320 |
| Magnesium Thiosulfuricum Dil. D4 Aquos                                                               |                                                  0 |                                                                1 |
| Magnesium Trisilicate                                                                                |                                                  0 |                                                               10 |
| Magnesiumbis(Hydrogen-Dl-Aspartate) Tetrahydrate                                                     |                                                  0 |                                                                3 |
| Mahonia Aquifolium Mother Tincture                                                                   |                                                  0 |                                                                2 |
| Mahonia Aquifolium Trit. D 6                                                                         |                                                  0 |                                                                2 |
| Maize Starch                                                                                         |                                                  0 |                                                                8 |
| Majorana                                                                                             |                                                  0 |                                                                2 |
| Majoranae Herbae Extractum                                                                           |                                                  0 |                                                                1 |
| Malathion                                                                                            |                                                  0 |                                                                3 |
| Malic Acid                                                                                           |                                                  0 |                                                               13 |
| Malt Extract                                                                                         |                                                  0 |                                                                9 |
| Malva Arborea E Floribus W 5% (Hab                                                                   |                                                  0 |                                                                1 |
| Malvae Folium                                                                                        |                                                  0 |                                                               10 |
| Mandragora E Radice Siccata Dil. D6                                                                  |                                                  0 |                                                                4 |
| Mandragora E Radice Spag. Peka D6                                                                    |                                                  0 |                                                                1 |
| Mandragora Officinarum E Radice Ferm 34d Dil. D2 (Hab                                                |                                                  0 |                                                                1 |
| Mandur Bhasma                                                                                        |                                                  0 |                                                                1 |
| Manganese Gluconate                                                                                  |                                                  0 |                                                               42 |
| Manganese Gluconate Dihydrate                                                                        |                                                  0 |                                                                5 |
| Manganese Sulphate Monohydrate                                                                       |                                                  0 |                                                                6 |
| Manganum Aceticum D12                                                                                |                                                  0 |                                                                1 |
| Manganum Aceticum D6                                                                                 |                                                  0 |                                                                2 |
| Manganum Sulfuricum D6                                                                               |                                                  0 |                                                                2 |
| Manganum Sulfuricum Trit. D12                                                                        |                                                  0 |                                                                1 |
| Manganum Sulfuricum Trit. D6                                                                         |                                                  0 |                                                                2 |
| Mango Fruit                                                                                          |                                                  0 |                                                                9 |
| Manidipine                                                                                           |                                                  0 |                                                                1 |
| Manidipine Dihydrochloride                                                                           |                                                  0 |                                                               40 |
| Mannitol                                                                                             |                                                  0 |                                                              123 |
| Mannitol (Ph. Eur.)                                                                                  |                                                  0 |                                                                2 |
| Maprotiline Hydrochloride                                                                            |                                                  0 |                                                               13 |
| Maralixibat                                                                                          |                                                  0 |                                                                4 |
| Maraviroc                                                                                            |                                                  0 |                                                               18 |
| Maribavir                                                                                            |                                                  0 |                                                                4 |
| Marmor Dil. D6 Aquos.                                                                                |                                                  0 |                                                                1 |
| Marmor Trit. D6                                                                                      |                                                  0 |                                                                1 |
| Marshmallow Leaf                                                                                     |                                                  0 |                                                                7 |
| Marshmallow Root                                                                                     |                                                  0 |                                                               31 |
| Marstacimab                                                                                          |                                                  0 |                                                                4 |
| Mate Leaf                                                                                            |                                                  0 |                                                                1 |
| Matricaria Liquid Extract                                                                            |                                                  0 |                                                               37 |
| Matricaria Liquid Extract (1:4-5)                                                                    |                                                  0 |                                                                1 |
| Matricaria Recutita D10                                                                              |                                                  0 |                                                                1 |
| Matricaria Recutita D12                                                                              |                                                  0 |                                                                4 |
| Matricaria Recutita D20                                                                              |                                                  0 |                                                                1 |
| Matricaria Recutita D3                                                                               |                                                  0 |                                                               29 |
| Matricaria Recutita D30                                                                              |                                                  0 |                                                                2 |
| Matricaria Recutita D6                                                                               |                                                  0 |                                                                9 |
| Matricaria Recutita Dil. D12                                                                         |                                                  0 |                                                                2 |
| Matricaria Recutita Dil. D6                                                                          |                                                  0 |                                                                4 |
| Matricaria Recutita L. Flos                                                                          |                                                  0 |                                                                3 |
| Matricaria Recutita Trit. D4                                                                         |                                                  0 |                                                                1 |
| Matricariae Aetheroleum                                                                              |                                                  0 |                                                                1 |
| Matricariae Flos                                                                                     |                                                  0 |                                                               76 |
| Matrix M                                                                                             |                                                  0 |                                                               12 |
| Mavacamten                                                                                           |                                                  0 |                                                                4 |
| Meadow Foxtail Pollen                                                                                |                                                  0 |                                                                1 |
| Meadow Grass Pollen                                                                                  |                                                  0 |                                                                1 |
| Measles Virus Edmonston-Schwarz Strain (Live                                                         |                                                  0 |                                                                2 |
| Measles Virus Schwarz Strain (Live                                                                   |                                                  0 |                                                               66 |
| Mebendazole                                                                                          |                                                  0 |                                                               50 |
| Mebeverine                                                                                           |                                                  0 |                                                                1 |
| Mebeverine Hydrochloride                                                                             |                                                  0 |                                                               74 |
| Mebeverine Hydrochloride Bp                                                                          |                                                  0 |                                                                2 |
| Mebrofenin                                                                                           |                                                  0 |                                                                1 |
| Mebrofenin Sodium                                                                                    |                                                  0 |                                                                1 |
| Mecasermin                                                                                           |                                                  0 |                                                                4 |
| Mecetronium Etilsulfate                                                                              |                                                  0 |                                                               14 |
| Mecillinam                                                                                           |                                                  0 |                                                                2 |
| Meclocycline Sulfosalicylate Anhydrous                                                               |                                                  0 |                                                                2 |
| Meclozine Hydrochloride                                                                              |                                                  0 |                                                               19 |
| Mecobalamin                                                                                          |                                                  0 |                                                                2 |
| Medazepam                                                                                            |                                                  0 |                                                               11 |
| Medicago Sativa L.                                                                                   |                                                  0 |                                                               25 |
| Medorrhinum Nosode D30                                                                               |                                                  0 |                                                                1 |
| Medrogestone                                                                                         |                                                  0 |                                                                1 |
| Medronate Tetrasodium                                                                                |                                                  0 |                                                                3 |
| Medronic Acid                                                                                        |                                                  0 |                                                                3 |
| Medroxyprogesterone Acetate                                                                          |                                                  0 |                                                               68 |
| Medulla Oblongata Suis D10                                                                           |                                                  0 |                                                                1 |
| Medulla Ossis D10                                                                                    |                                                  0 |                                                                1 |
| Medulla Ossis Suis D200                                                                              |                                                  0 |                                                                1 |
| Medulla Ossium Rubra Bovis Gl Dil. D5 (Hab                                                           |                                                  0 |                                                                1 |
| Medulla Spinalis Suis D10                                                                            |                                                  0 |                                                                1 |
| Mefenamic Acid                                                                                       |                                                  0 |                                                               37 |
| Mefenidramium Metilsulfate                                                                           |                                                  0 |                                                                2 |
| Mefloquine                                                                                           |                                                  0 |                                                                1 |
| Mefloquine Hydrochloride                                                                             |                                                  0 |                                                               12 |
| Megestrol                                                                                            |                                                  0 |                                                                1 |
| Megestrol Acetate                                                                                    |                                                  0 |                                                               40 |
| Meglumine Amidotrizoate                                                                              |                                                  0 |                                                               35 |
| Meglumine Antimonate                                                                                 |                                                  0 |                                                                2 |
| Meglumine Gadoterate                                                                                 |                                                  0 |                                                                4 |
| Meglumine Indometacin                                                                                |                                                  0 |                                                                1 |
| Melamine Formaldehyde Resin                                                                          |                                                  0 |                                                                1 |
| Melarsoprol                                                                                          |                                                  0 |                                                                1 |
| Melatonin                                                                                            |                                                  0 |                                                              255 |
| Meldonium                                                                                            |                                                  0 |                                                                2 |
| Meldonium Dihydrate                                                                                  |                                                  0 |                                                               30 |
| Melilot                                                                                              |                                                  0 |                                                                4 |
| Melilotus Officinalis ?                                                                              |                                                  0 |                                                                0 |
| Melilotus Officinalis D8                                                                             |                                                  0 |                                                                1 |
| Melissa Cupro Culta D3                                                                               |                                                  0 |                                                                1 |
| Melissa Leaf                                                                                         |                                                  0 |                                                               56 |
| Melissa Leaf Dry Extract                                                                             |                                                  0 |                                                               11 |
| Melissa Leaf Dry Extract (3 - 7 : 1)                                                                 |                                                  0 |                                                                1 |
| Melissa Leaf Dry Extract (5.0-6.2:1))                                                                |                                                  0 |                                                                1 |
| Melissa Leaf Powder                                                                                  |                                                  0 |                                                                2 |
| Melissa Leaf Soft Extract (2.3-3.0:1)                                                                |                                                  0 |                                                                5 |
| Melissa Officinalis Cupro Culta                                                                      |                                                  0 |                                                                2 |
| Melissa Officinalis Dry Extract                                                                      |                                                  0 |                                                                3 |
| Melissa Officinalis Ex Herba W 5% (Hab                                                               |                                                  0 |                                                                1 |
| Melissa Officinalis L. Folium                                                                        |                                                  0 |                                                                5 |
| Melissa Officinalis Leaf Dry Extract                                                                 |                                                  0 |                                                                1 |
| Melissae Herba                                                                                       |                                                  0 |                                                               12 |
| Melissengeist Konzentrat                                                                             |                                                  0 |                                                                1 |
| Melon Fruit                                                                                          |                                                  0 |                                                                9 |
| Meloxicam                                                                                            |                                                  0 |                                                              186 |
| Melperone Hydrochloride                                                                              |                                                  0 |                                                               21 |
| Melphalan                                                                                            |                                                  0 |                                                               89 |
| Melphalan Flufenamide                                                                                |                                                  0 |                                                                4 |
| Melphalan Hydrochloride                                                                              |                                                  0 |                                                               20 |
| Memantine                                                                                            |                                                  0 |                                                               20 |
| Memantine Hydrochloride                                                                              |                                                  0 |                                                              311 |
| Menadiol Diphosphate                                                                                 |                                                  0 |                                                                1 |
| Menglytate                                                                                           |                                                  0 |                                                                1 |
| Menotrophin                                                                                          |                                                  0 |                                                               72 |
| Mentha ? Piperita L. Folium                                                                          |                                                  0 |                                                                0 |
| Mentha Piperita                                                                                      |                                                  0 |                                                                2 |
| Mentha Piperita Tincture                                                                             |                                                  0 |                                                                2 |
| Menthae Arvensis L. Var. Piperascens Malinv. Ex Holmes                                               |                                                  0 |                                                                1 |
| Menthae Piperitae Folium                                                                             |                                                  0 |                                                              114 |
| Menthae Piperitae Herba                                                                              |                                                  0 |                                                               24 |
| Menthae Piperitae Tinctura                                                                           |                                                  0 |                                                                8 |
| Menthol                                                                                              |                                                  0 |                                                               97 |
| Menthol Bp                                                                                           |                                                  0 |                                                                4 |
| Mentzelia Scabra Stem And Twig                                                                       |                                                  0 |                                                                1 |
| Mepartricin                                                                                          |                                                  0 |                                                                9 |
| Mephenesin                                                                                           |                                                  0 |                                                                4 |
| Mephenoxalone                                                                                        |                                                  0 |                                                                1 |
| Mepiphylline                                                                                         |                                                  0 |                                                                1 |
| Mepivacaine                                                                                          |                                                  0 |                                                                2 |
| Mepivacaine Hydrochloride                                                                            |                                                  0 |                                                              133 |
| Mepolizumab                                                                                          |                                                  0 |                                                                4 |
| Meptazinol                                                                                           |                                                  0 |                                                                4 |
| Meptazinol Hydrochloride                                                                             |                                                  0 |                                                                1 |
| Mepyramine Maleate                                                                                   |                                                  0 |                                                                4 |
| Mepyramine Maleate Bp                                                                                |                                                  0 |                                                                1 |
| Mepyramine Maleate Ph. Eur.                                                                          |                                                  0 |                                                                2 |
| Mequinol                                                                                             |                                                  0 |                                                                4 |
| Mequitazine                                                                                          |                                                  0 |                                                                1 |
| Merbromin                                                                                            |                                                  0 |                                                                1 |
| Mercaptamine                                                                                         |                                                  0 |                                                               12 |
| Mercaptobenzothiazole                                                                                |                                                  0 |                                                               15 |
| Mercaptopurine                                                                                       |                                                  0 |                                                               21 |
| Mercaptopurine Monohydrate                                                                           |                                                  0 |                                                               27 |
| Mercurialis Perennis 2b ?                                                                            |                                                  0 |                                                                0 |
| Mercurialis Perennis Ferm 34c Dil. D3                                                                |                                                  0 |                                                                1 |
| Mercuric Chloride                                                                                    |                                                  0 |                                                                1 |
| Mercurius Bijodatus Dil. D8                                                                          |                                                  0 |                                                                3 |
| Mercurius Praecipitatus Ruber D10                                                                    |                                                  0 |                                                                1 |
| Mercurius Solubilis Hahnemani Dil. D20                                                               |                                                  0 |                                                                1 |
| Mercurius Solubilis Hahnemanni C3                                                                    |                                                  0 |                                                                7 |
| Mercurius Solubilis Hahnemanni D30                                                                   |                                                  0 |                                                                3 |
| Mercurius Solubilis Hahnemanni D8                                                                    |                                                  0 |                                                                4 |
| Mercurius Solubilis Hahnemanni Dil D8                                                                |                                                  0 |                                                                7 |
| Mercurius Solubilis Hahnemanni Dil. D12                                                              |                                                  0 |                                                                2 |
| Mercurius Sublimatus Corrosivus Dil. D5                                                              |                                                  0 |                                                                3 |
| Mercurius Vivus Dil. D14 Aquos.                                                                      |                                                  0 |                                                                4 |
| Mercurius Vivus Naturalis Trit. D6                                                                   |                                                  0 |                                                                1 |
| Meropenem                                                                                            |                                                  0 |                                                              109 |
| Meropenem Anhydrous                                                                                  |                                                  0 |                                                              142 |
| Meropenem Trihydrate                                                                                 |                                                  0 |                                                               73 |
| Mertiatide                                                                                           |                                                  0 |                                                               16 |
| Mesalazine                                                                                           |                                                  0 |                                                              320 |
| Mesenchym Bovis Gl Dil. D4 (Hab                                                                      |                                                  0 |                                                                3 |
| Mesenchymal Stromal Cells                                                                            |                                                  0 |                                                                2 |
| Mesna                                                                                                |                                                  0 |                                                               54 |
| Mesoglycan                                                                                           |                                                  0 |                                                                2 |
| Mesoglycan Sodium                                                                                    |                                                  0 |                                                                1 |
| Mesterolone                                                                                          |                                                  0 |                                                                6 |
| Mestranol                                                                                            |                                                  0 |                                                                1 |
| Mesuximide                                                                                           |                                                  0 |                                                                1 |
| Metacycline Hydrochloride                                                                            |                                                  0 |                                                                1 |
| Metadoxine                                                                                           |                                                  0 |                                                                5 |
