+----------+------------------------------------------------------+---------------------------------------+---------------------------------------+---------------------------------+----------------------------------+--------------------------------------------------+---------------------------------+-----------------------------------+-----------------------------+
| Έτος     | Τμήμα                                                | Κωδικός ΚΕΝ / Σύνολο                  | Ασφαλιστικός Φορέας                   | Πλήθος Νοσηλειών                | Βασικό Κόστος ΚΕΝ                | Πρόσθετη Χρέωση (Υπέρβαση)                       | Κόστος Εξετάσεων                | Κόστος Επεμβάσεων                 | Συνολικά Έσοδα              |
|     2024 | Χειρουργικό Τμήμα                                    | 37                                    | ΕΦΚΑ                                  |                               1 |                             3720 |                                                0 |                              60 |                              3720 |                        3780 |
|     2024 | Χειρουργικό Τμήμα                                    | 56                                    | ΕΟΠΥΥ                                 |                               1 |                              420 |                                              200 |                             180 |                               420 |                         800 |
|     2024 | Χειρουργικό Τμήμα                                    | 83                                    | ΕΟΠΥΥ                                 |                               1 |                              837 |                                              400 |                             120 |                               837 |                        1357 |
|     2024 | Ψυχιατρική Κλινική                                   | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                            10657 |                                             2800 |                             163 |                             10657 |                       13620 |
|     2024 | Ψυχιατρική Κλινική                                   | 106                                   | ΕΦΚΑ                                  |                               1 |                             3125 |                                             1700 |                              15 |                              3125 |                        4840 |
|     2024 | Ψυχιατρική Κλινική                                   | 139                                   | ΕΟΠΥΥ                                 |                               1 |                             3696 |                                              800 |                              15 |                              3696 |                        4511 |
|     2024 | Ψυχιατρική Κλινική                                   | 150                                   | ΕΦΚΑ                                  |                               1 |                              949 |                                                0 |                              15 |                               949 |                         964 |
|     2024 | Ψυχιατρική Κλινική                                   | 32                                    | Ιδιωτική                              |                               1 |                             2513 |                                                0 |                              68 |                              2513 |                        2581 |
|     2024 | Ψυχιατρική Κλινική                                   | 66                                    | ΕΟΠΥΥ                                 |                               1 |                              374 |                                              300 |                              50 |                               374 |                         724 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               7 |                            39768 |                                              300 |                             192 |                             39768 |                       40260 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 1                                     | ΕΦΚΑ                                  |                               1 |                            28907 |                                                0 |                              60 |                             28907 |                       28967 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 137                                   | ΕΦΚΑ                                  |                               1 |                             3984 |                                                0 |                              15 |                              3984 |                        3999 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 21                                    | ΕΦΚΑ                                  |                               1 |                             1980 |                                                0 |                              32 |                              1980 |                        2012 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 46                                    | ΕΟΠΥΥ                                 |                               1 |                              482 |                                              100 |                              30 |                               482 |                         612 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 55                                    | ΕΦΚΑ                                  |                               1 |                              545 |                                                0 |                              20 |                               545 |                         565 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 79                                    | ΕΦΚΑ                                  |                               1 |                             2475 |                                                0 |                              20 |                              2475 |                        2495 |
|     2024 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 81                                    | ΕΟΠΥΥ                                 |                               1 |                             1395 |                                              200 |                              15 |                              1395 |                        1610 |
+----------+------------------------------------------------------+---------------------------------------+---------------------------------------+---------------------------------+----------------------------------+--------------------------------------------------+---------------------------------+-----------------------------------+-----------------------------+
178 rows in set (0.010 sec)
