+------------------------------------------------------+----------------------+--------------+-----------------------------------------+---------------------------------------------------------------------------------+-----------------------------+
| Τμήμα                                                | Ημερομηνία           | Βάρδια       | Κατηγορία Προσωπικού                    | Υποκλάση (Ειδικότητα/Βαθμίδα/Ρόλος)                                             | Αριθμός Ατόμων              |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | afternoon    | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | afternoon    | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | night        | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           2 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | night        | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | afternoon    | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | night        | Διοικητικό Προσωπικό                    | Υπάλληλος Τιμολόγησης ΚΕΝ                                                       |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-14           | night        | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-15           | morning      | Ιατρός                                  | Ακτινολόγος                                                                     |                           3 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Νομικός Σύμβουλος (Ιατρικό Δίκαιο)                                              |                           1 |
| Δερματολογικό Τμήμα                                  | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Δερματολογικό Τμήμα                                  | 2026-05-15           | morning      | Ιατρός                                  | Δερματολόγος                                                                    |                           3 |
| Δερματολογικό Τμήμα                                  | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Δερματολογικό Τμήμα                                  | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Καρδιολογική Κλινική                                 | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Καρδιολογική Κλινική                                 | 2026-05-15           | morning      | Ιατρός                                  | Καρδιολόγος                                                                     |                           3 |
| Καρδιολογική Κλινική                                 | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           2 |
| Μαιευτική και Γυναικολογική                          | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μαιευτική και Γυναικολογική                          | 2026-05-15           | morning      | Ιατρός                                  | Γυναικολόγος                                                                    |                           3 |
| Μαιευτική και Γυναικολογική                          | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Μισθοδοσίας                                                        |                           1 |
| Μαιευτική και Γυναικολογική                          | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-15           | morning      | Ιατρός                                  | Εντατικολόγος                                                                   |                           3 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Νευρολογικό Τμήμα                                    | 2026-05-15           | morning      | Ιατρός                                  | Νευρολόγος                                                                      |                           3 |
| Νευρολογικό Τμήμα                                    | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           2 |
| Ορθοπεδική Κλινική                                   | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ορθοπεδική Κλινική                                   | 2026-05-15           | morning      | Ιατρός                                  | Ορθοπεδικός                                                                     |                           3 |
| Ορθοπεδική Κλινική                                   | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Μισθοδοσίας                                                        |                           1 |
| Ορθοπεδική Κλινική                                   | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ουρολογικό Τμήμα                                     | 2026-05-15           | morning      | Ιατρός                                  | Ουρολόγος                                                                       |                           3 |
| Ουρολογικό Τμήμα                                     | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Τιμολόγησης ΚΕΝ                                                       |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Υπεύθυνος Προμηθειών Υγείας                                                     |                           1 |
| Οφθαλμολογική Κλινική                                | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Οφθαλμολογική Κλινική                                | 2026-05-15           | morning      | Ιατρός                                  | Οφθαλμίατρος                                                                    |                           3 |
| Οφθαλμολογική Κλινική                                | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Οφθαλμολογική Κλινική                                | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Παθολογικό Τμήμα                                     | 2026-05-15           | morning      | Ιατρός                                  | Παθολόγος                                                                       |                           3 |
| Παθολογικό Τμήμα                                     | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Εξυπηρέτησης                                                          |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Μισθοδοσίας                                                        |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Παιδιατρική Κλινική                                  | 2026-05-15           | morning      | Ιατρός                                  | Παιδίατρος                                                                      |                           3 |
| Παιδιατρική Κλινική                                  | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Δικηγόρος Εργασιακών Θεμάτων                                                    |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Δικηγόρος Εργασιακών Θεμάτων                                                    |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | night        | Διοικητικό Προσωπικό                    | Βοηθός Λογιστή                                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-15           | night        | Διοικητικό Προσωπικό                    | Υπεύθυνος Προμηθειών Υγείας                                                     |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Λογιστής                                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | night        | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | afternoon    | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           2 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | night        | Διοικητικό Προσωπικό                    | Υπάλληλος Παράδοσης Αποτελεσμάτων                                               |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-15           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ψυχιατρική Κλινική                                   | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Ψυχιατρική Κλινική                                   | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Ψυχιατρική Κλινική                                   | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ψυχιατρική Κλινική                                   | 2026-05-15           | morning      | Ιατρός                                  | Ψυχίατρος                                                                       |                           3 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-15           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-15           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-15           | morning      | Ιατρός                                  | ΩΡΛ                                                                             |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Ιατρός                                  | Παθολόγος                                                                       |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Διοικητικό Προσωπικό                    | Νομικός Σύμβουλος (Ιατρικό Δίκαιο)                                              |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | night        | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | afternoon    | Διοικητικό Προσωπικό                    | Λογιστής                                                                        |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | night        | Διοικητικό Προσωπικό                    | Σύμβουλος Κανονιστικής Συμμόρφωσης (Compliance)                                 |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-16           | night        | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | afternoon    | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | night        | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-16           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | night        | Ιατρός                                  | Παθολόγος                                                                       |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | night        | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-17           | morning      | Διοικητικό Προσωπικό                    | Σύμβουλος Κανονιστικής Συμμόρφωσης (Compliance)                                 |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | afternoon    | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           2 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | morning      | Διοικητικό Προσωπικό                    | Βοηθός Λογιστή                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | afternoon    | Διοικητικό Προσωπικό                    | Δικηγόρος Εργασιακών Θεμάτων                                                    |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | morning      | Διοικητικό Προσωπικό                    | Υπεύθυνος Προμηθειών Υγείας                                                     |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Εργαστηρίου                                                          |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | night        | Διοικητικό Προσωπικό                    | Βοηθός Λογιστή                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-17           | night        | Διοικητικό Προσωπικό                    | Υπάλληλος Διαλογής Εγγραφών                                                     |                           1 |
+------------------------------------------------------+----------------------+--------------+-----------------------------------------+---------------------------------------------------------------------------------+-----------------------------+
333 rows in set (0.016 sec)
